prog_id	gdc_project_id	disease_id	psi_id	primary_site	disease_context	cbioportal_study_id	mapping_status	recommended_mutation_source	notes	alternative_cbioportal_study_ids	review_notes
TCGA	TCGA-ACC	ACC	TCGA-ACC	Adrenal gland	Adrenocortical carcinoma	acc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-BLCA	BLCA	TCGA-BLCA	Bladder	Bladder urothelial carcinoma	blca_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-BRCA	BRCA	TCGA-BRCA	Breast	Breast invasive carcinoma	brca_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-CESC	CESC	TCGA-CESC	Cervix uteri	Cervical squamous cell carcinoma and endocervical adenocarcinoma	cesc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-CHOL	CHOL	TCGA-CHOL	Bile ducts	Cholangiocarcinoma	chol_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-COAD	COAD	TCGA-COAD	Colon	Colon adenocarcinoma	coadread_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-DLBC	DLBC	TCGA-DLBC	Lymph nodes	Diffuse large B-cell lymphoma	dlbc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-ESCA	ESCA	TCGA-ESCA	Esophagus	Esophageal carcinoma	esca_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-GBM	GLIOBLASTOMA	TCGA-GBM	Brain	Glioblastoma multiforme	gbm_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-HNSC	HEAD_NECK	TCGA-HNSC	Head and neck	Head and neck squamous cell carcinoma	hnsc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-KICH	KIDNEY	TCGA-KICH	Kidney	Kidney chromophobe	kich_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-KIRC	KIDNEY	TCGA-KIRC	Kidney	Kidney renal clear cell carcinoma	kirc_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-KIRP	KIDNEY	TCGA-KIRP	Kidney	Kidney renal papillary cell carcinoma	kirp_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-LAML	AML	TCGA-LAML	Blood	Acute myeloid leukemia	laml_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
TCGA	TCGA-LGG	GLIOMA	TCGA-LGG	Brain	Brain lower grade glioma	lgg_tcga_pan_can_atlas_2018	formulaic_tcga_pan_can_atlas	GDC MAF first; cBioPortal only if mapping is validated	Validate with cBioPortal /api/studies before production.		
