	LPCAT1	ETNK1	ETNK2	PCYT2	KLF5	SPHK1	PCYT1A	SGPL1	CEPT1	SMPD2
LPCAT1	1.0	0.9482874951568306	0.20296017392043242	-0.8554336183821462	0.926991772045084	-0.7039247790209398	0.7990005231121883	0.9669119272760544	-0.9486714389973264	0.1270861583387896
ETNK1	0.9482874951568306	1.0	-0.9449600392439217	-0.3807139030697461	0.9727551993460339	-0.6961175297361057	0.8975647991906397	0.9587739939242652	-0.9862190885900171	-0.3864101603041678
ETNK2	0.20296017392043242	-0.9449600392439217	1.0	0.14855631880978037	-0.10342487943729056	-0.3031134399987037	-0.07034693654560764	0.09796155705509516	0.03370725090927687	0.5474724311085878
PCYT2	-0.8554336183821462	-0.3807139030697461	0.14855631880978037	1.0	-0.5789385010345406	0.20863847408321196	-0.18235433680842503	-0.5854251460420933	0.20246427912281714	0.028220678648759212
KLF5	0.926991772045084	0.9727551993460339	-0.10342487943729056	-0.5789385010345406	1.0	-0.7405357341273655	0.8729823561919886	0.9779420583162817	-0.9472790349630865	-0.2355412821724746
SPHK1	-0.7039247790209398	-0.6961175297361057	-0.3031134399987037	0.20863847408321196	-0.7405357341273655	1.0	-0.8877752151172502	-0.770870991494148	0.8718130518515894	0.4173596548732866
PCYT1A	0.7990005231121883	0.8975647991906397	-0.07034693654560764	-0.18235433680842503	0.8729823561919886	-0.8877752151172502	1.0	0.8287523620334445	-0.9736719326133275	-0.49617094530803596
SGPL1	0.9669119272760544	0.9587739939242652	0.09796155705509516	-0.5854251460420933	0.9779420583162817	-0.770870991494148	0.8287523620334445	1.0	-0.9195675200896707	-0.08592732747827975
CEPT1	-0.9486714389973264	-0.9862190885900171	0.03370725090927687	0.20246427912281714	-0.9472790349630865	0.8718130518515894	-0.9736719326133275	-0.9195675200896707	1.0	0.15253767315319
SMPD2	0.1270861583387896	-0.3864101603041678	0.5474724311085878	0.028220678648759212	-0.2355412821724746	0.4173596548732866	-0.49617094530803596	-0.08592732747827975	0.15253767315319	1.0
