ncluster	ngenes	genes
1	2038	['A1BG-AS1' 'A2ML1-AS1' 'ABCB9' ... 'ZNF90' 'ZSCAN16-AS1' 'ZSCAN21']
2	1622	['A2M-AS1' 'AANAT' 'ABALON' ... 'ZNF80' 'ZNF839P1' 'ZNRF2P1']
3	1567	['A2M-AS1' 'AADACL2' 'AATK' ... 'ZNF839P1' 'ZSWIM7' 'hsa-mir-423']
4	1955	['AANAT' 'AATK' 'ABCB9' ... 'ZNF839P1' 'ZSWIM7' 'hsa-mir-423']
5	6494	['A2M' 'AAAS' 'AACS' ... 'ZYX' 'ZZEF1' 'ZZZ3']
6	7046	['A2ML1' 'A2ML1-AS1' 'AACS' ... 'ZYX' 'ZZEF1' 'ZZZ3']
7	5374	['A2ML1' 'A2ML1-AS1' 'AADACL2' ... 'ZXDC' 'ZYG11A' 'ZZEF1']
8	5686	['A2ML1' 'A2ML1-AS1' 'AAAS' ... 'ZYX' 'ZZEF1' 'ZZZ3']
9	6990	['A2ML1' 'AAAS' 'AACS' ... 'ZYX' 'ZZEF1' 'ZZZ3']
10	3159	['AACS' 'AAK1' 'AAMP' ... 'ZYX' 'ZZEF1' 'ZZZ3']
