geneid	normal_1	normal_2	normal_3	normal_4	normal_5	normal_6	normal_7	normal_8	normal_9	normal_10	normal_11	normal_12	normal_13	normal_14	normal_15	tumor_1	tumor_2	tumor_3	tumor_4
ENSG00000000003	1039	840	1215	737	608	686	1548	1341	659	814	889	1085	625	875	1288	1644	622	839	618
ENSG00000000005	0	4	4	9	0	2	2	2	1	6	0	4	0	2	4	5	1	0	64
ENSG00000000419	948	482	816	758	406	623	860	535	1332	635	612	389	374	897	569	985	782	956	674
ENSG00000000457	418	211	664	292	164	310	620	352	666	585	501	305	171	502	395	710	477	835	304
ENSG00000000460	57	57	128	39	66	37	220	74	41	83	88	77	25	42	63	358	276	532	184
ENSG00000000938	95	37	185	183	47	48	89	28	171	125	88	30	47	87	55	1114	371	31	624
ENSG00000000971	690	347	383	596	159	399	1231	294	597	548	454	1030	192	292	371	6607	3443	421	4578
ENSG00000001036	1098	1042	1527	846	693	868	1594	1262	1367	880	658	1228	713	1162	1188	2145	2021	1720	1223
ENSG00000001084	1265	1138	931	676	894	1335	2259	1097	866	756	832	636	372	1151	1606	1544	1076	791	338
ENSG00000001167	808	566	1064	412	562	560	1217	719	516	1081	993	657	262	746	672	1195	827	690	375
ENSG00000001460	309	200	235	177	162	146	379	347	201	214	358	169	87	348	214	385	236	273	207
ENSG00000001461	1469	746	1417	768	590	1023	1525	1441	2165	1328	1438	1019	593	1919	1221	1489	1152	596	866
ENSG00000001497	1385	892	1559	981	725	894	1899	1216	2129	1083	1163	985	614	1505	991	1116	1133	1164	622
ENSG00000001561	599	360	1050	732	442	549	904	724	1037	569	754	641	391	1145	532	1328	941	566	545
ENSG00000001617	404	224	240	280	194	247	421	354	867	895	596	358	111	292	143	832	1008	251	785
ENSG00000001626	11706	8967	24716	10097	9863	9224	18096	10179	11298	11591	19167	10269	5795	17422	14092	39133	1980	2	2511
ENSG00000001629	1536	867	1637	1293	818	1198	2016	1373	1446	1295	1487	1240	844	1830	1179	2175	1735	1108	951
ENSG00000001630	1746	1003	5511	1577	1211	1460	1806	1136	1668	959	919	1403	670	2064	1116	119	70	75	70
ENSG00000001631	1367	937	1826	995	755	875	1964	1307	1512	1315	1846	1131	691	1199	1361	185	151	210	86
ENSG00000002016	520	365	513	136	365	477	1025	633	366	903	826	537	316	702	635	235	153	838	124
ENSG00000002079	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	54	18	29	22
ENSG00000002330	426	240	468	263	260	182	563	432	410	514	482	323	268	559	545	733	1338	809	886
ENSG00000002549	640	404	1338	551	518	591	1282	767	1793	754	579	541	284	1043	513	4194	2994	1442	3162
ENSG00000002586	6335	5689	8328	3205	4481	3940	7511	5796	4504	4669	4325	5594	2866	9694	7049	10774	6994	5402	6221
ENSG00000002587	26	26	34	32	10	23	65	10	26	55	30	56	8	29	24	778	2688	1343	932
ENSG00000002726	20	0	8	5	6	12	46	2	10	5	10	6	4	8	4	567	1227	12004	1050
ENSG00000002745	13	5	2	3	2	9	7	10	2	8	15	6	0	9	5	10	9	1	8
ENSG00000002746	5	0	4	3	3	2	10	4	3	1	1	3	0	2	4	97	85	10	32
ENSG00000002822	299	237	521	169	198	165	458	293	253	241	317	244	193	361	231	39	8	36	13
ENSG00000002834	3823	3032	5585	3355	1961	1801	4773	2416	3394	2909	3619	2155	1326	7485	3080	10820	10098	9115	5755
ENSG00000002919	770	478	753	386	363	342	759	684	1111	645	619	406	270	944	577	927	800	701	547
ENSG00000002933	303	154	259	206	94	336	745	130	982	484	502	309	98	961	671	3217	4116	6286	3228
ENSG00000003056	1276	833	2022	877	655	695	1658	1080	1862	1184	1087	903	567	1566	856	3679	1874	937	1401
ENSG00000003096	171	195	250	164	101	187	276	273	117	152	193	253	134	177	173	243	277	163	68
ENSG00000003137	18	12	28	80	12	45	12	30	29	19	6	23	22	170	24	173	161	2	116
ENSG00000003147	2755	2009	3257	2154	1606	2275	2249	1963	2594	1988	2007	1813	876	4168	1933	996	894	4586	494
ENSG00000003249	634	428	1087	546	387	309	697	663	1007	772	758	630	403	1336	531	573	257	130	166
ENSG00000003393	780	519	1262	436	528	546	1225	698	598	807	1118	722	444	706	722	1264	655	371	500
ENSG00000003400	414	258	650	261	260	297	702	384	547	496	548	394	174	689	449	897	735	554	516
ENSG00000003402	3512	2356	5871	3833	2161	2729	7279	3462	5556	3916	4434	4198	2398	5797	3451	5887	5715	1618	3840
