run_accession	sample_accession	sample_alias	sample_title	fastq_bytes	fastq_ftp	read_count	library_layout	base_count
SRR11687770	SAMN14835838	GSM4516342	4c11plus_rep2	640245120;658605094	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/070/SRR11687770/SRR11687770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/070/SRR11687770/SRR11687770_2.fastq.gz	12491267	PAIRED	2498253400
SRR11687762	SAMN14835846	GSM4516334	melan_rep3	728545578;753854572	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/062/SRR11687762/SRR11687762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/062/SRR11687762/SRR11687762_2.fastq.gz	13816854	PAIRED	2763370800
SRR11687763	SAMN14835845	GSM4516335	4c_rep1	690838193;707400242	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/063/SRR11687763/SRR11687763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/063/SRR11687763/SRR11687763_2.fastq.gz	12504786	PAIRED	2500957200
SRR11687765	SAMN14835843	GSM4516337	4c_rep3	636483134;658584781	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/065/SRR11687765/SRR11687765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/065/SRR11687765/SRR11687765_2.fastq.gz	12948890	PAIRED	2589778000
SRR11687766	SAMN14835842	GSM4516338	4c11minus_rep1	666877301;691584412	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/066/SRR11687766/SRR11687766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/066/SRR11687766/SRR11687766_2.fastq.gz	13846260	PAIRED	2769252000
SRR11687768	SAMN14835840	GSM4516340	4c11minus_rep3	667368277;693456017	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/068/SRR11687768/SRR11687768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/068/SRR11687768/SRR11687768_2.fastq.gz	12726679	PAIRED	2545335800
SRR11687769	SAMN14835839	GSM4516341	4c11plus_rep1	631100981;655569515	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/069/SRR11687769/SRR11687769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/069/SRR11687769/SRR11687769_2.fastq.gz	12394808	PAIRED	2478961600
SRR11687761	SAMN14835847	GSM4516333	melan_rep2	598150838;620103135	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/061/SRR11687761/SRR11687761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/061/SRR11687761/SRR11687761_2.fastq.gz	12607007	PAIRED	2521401400
SRR11687764	SAMN14835844	GSM4516336	4c_rep2	676010152;697675673	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/064/SRR11687764/SRR11687764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/064/SRR11687764/SRR11687764_2.fastq.gz	12778508	PAIRED	2555701600
SRR11687767	SAMN14835841	GSM4516339	4c11minus_rep2	720820264;744365432	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/067/SRR11687767/SRR11687767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/067/SRR11687767/SRR11687767_2.fastq.gz	13753361	PAIRED	2750672200
SRR11687771	SAMN14835837	GSM4516343	4c11plus_rep3	663473613;682425438	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/071/SRR11687771/SRR11687771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/071/SRR11687771/SRR11687771_2.fastq.gz	12468187	PAIRED	2493637400
