sample_id,srr,gsm,group,replicate,layout,read_pairs,fastq_1_url,fastq_2_url,fastq_1_bytes,fastq_2_bytes
melan_rep2,SRR11687761,GSM4516333,melan-a,rep2,PAIRED,12607007,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/061/SRR11687761/SRR11687761_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/061/SRR11687761/SRR11687761_2.fastq.gz,598150838,620103135
melan_rep3,SRR11687762,GSM4516334,melan-a,rep3,PAIRED,13816854,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/062/SRR11687762/SRR11687762_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/062/SRR11687762/SRR11687762_2.fastq.gz,728545578,753854572
4c_rep1,SRR11687763,GSM4516335,4C,rep1,PAIRED,12504786,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/063/SRR11687763/SRR11687763_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/063/SRR11687763/SRR11687763_2.fastq.gz,690838193,707400242
4c_rep2,SRR11687764,GSM4516336,4C,rep2,PAIRED,12778508,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/064/SRR11687764/SRR11687764_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/064/SRR11687764/SRR11687764_2.fastq.gz,676010152,697675673
4c_rep3,SRR11687765,GSM4516337,4C,rep3,PAIRED,12948890,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/065/SRR11687765/SRR11687765_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/065/SRR11687765/SRR11687765_2.fastq.gz,636483134,658584781
4c11minus_rep1,SRR11687766,GSM4516338,4C11minus,rep1,PAIRED,13846260,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/066/SRR11687766/SRR11687766_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/066/SRR11687766/SRR11687766_2.fastq.gz,666877301,691584412
4c11minus_rep2,SRR11687767,GSM4516339,4C11minus,rep2,PAIRED,13753361,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/067/SRR11687767/SRR11687767_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/067/SRR11687767/SRR11687767_2.fastq.gz,720820264,744365432
4c11minus_rep3,SRR11687768,GSM4516340,4C11minus,rep3,PAIRED,12726679,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/068/SRR11687768/SRR11687768_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/068/SRR11687768/SRR11687768_2.fastq.gz,667368277,693456017
4c11plus_rep1,SRR11687769,GSM4516341,4C11plus,rep1,PAIRED,12394808,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/069/SRR11687769/SRR11687769_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/069/SRR11687769/SRR11687769_2.fastq.gz,631100981,655569515
4c11plus_rep2,SRR11687770,GSM4516342,4C11plus,rep2,PAIRED,12491267,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/070/SRR11687770/SRR11687770_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/070/SRR11687770/SRR11687770_2.fastq.gz,640245120,658605094
4c11plus_rep3,SRR11687771,GSM4516343,4C11plus,rep3,PAIRED,12468187,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/071/SRR11687771/SRR11687771_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/071/SRR11687771/SRR11687771_2.fastq.gz,663473613,682425438
