	CEPT1	CHKA	CHPT1	ETNK1	ETNK2	LPCAT1	LPCAT3	PCYT1A	PCYT2	SELENOI	SGPL1	SGPP2	SMPD2	SMPD3	SPHK1	SPHK2
CEPT1	1.0	0.7704448646054808	-0.31304147437555774	-0.6615673822720955		-0.84199498700374	0.722328122969186	-0.4549726565599326	-0.9899714186108323	-0.7438003515037779	-0.5341829693513318				0.12501344881209253	
CHKA	0.7704448646054808	1.0	0.9875553824759191	-0.6477009894507467		-0.7993258645112649	0.8169591392328751	-0.2757162134820207	0.018723455024310276	-0.7249983001404697	-0.656307938967172				-0.06205346440294646	
CHPT1	-0.31304147437555774	0.9875553824759191	1.0	0.9534490256690838			-0.8922639364689823	0.9775563538299283	0.17573451217707065	0.9826847823493225	0.7859355022909668				-0.9423149393062897	
ETNK1	-0.6615673822720955	-0.6477009894507467	0.9534490256690838	1.0		0.9802665217401089	-0.9669112685139397	0.9093645414111429	-0.1293074249278608	0.9920088724234408	0.9772474983917055				-0.718569783225431	
ETNK2					1.0											
LPCAT1	-0.84199498700374	-0.7993258645112649		0.9802665217401089		1.0	-0.9999418420398039	0.8539775551194075		0.9974017601016103	0.9636768891423133				-0.6093043909703322	
LPCAT3	0.722328122969186	0.8169591392328751	-0.8922639364689823	-0.9669112685139397		-0.9999418420398039	1.0	-0.7732440769275793	0.28768598059865247	-0.983075082090202	-0.9629487626685381				0.5247785161584223	
PCYT1A	-0.4549726565599326	-0.2757162134820207	0.9775563538299283	0.9093645414111429		0.8539775551194075	-0.7732440769275793	1.0	-0.035605112570845365	0.8616781402819409	0.8628310572002125				-0.9339471289973723	
PCYT2	-0.9899714186108323	0.018723455024310276	0.17573451217707065	-0.1293074249278608			0.28768598059865247	-0.035605112570845365	1.0	-0.009710121155247942	-0.47057012959526495				0.16392116158397674	
SELENOI	-0.7438003515037779	-0.7249983001404697	0.9826847823493225	0.9920088724234408		0.9974017601016103	-0.983075082090202	0.8616781402819409	-0.009710121155247942	1.0	0.9591517508892642				-0.6336083769386966	
SGPL1	-0.5341829693513318	-0.656307938967172	0.7859355022909668	0.9772474983917055		0.9636768891423133	-0.9629487626685381	0.8628310572002125	-0.47057012959526495	0.9591517508892642	1.0				-0.6948605909899177	
SGPP2												1.0				
SMPD2													1.0			
SMPD3														1.0		
SPHK1	0.12501344881209253	-0.06205346440294646	-0.9423149393062897	-0.718569783225431		-0.6093043909703322	0.5247785161584223	-0.9339471289973723	0.16392116158397674	-0.6336083769386966	-0.6948605909899177				1.0	
SPHK2																1.0
