geneid	symbol	lfc	AveExpr	statistic	pvalue	fdr	B	method	abs_lfc
ENSG00000178922	HYI	-5.37174675158568	-0.324393052295293	-107.804132793197	3.82515133304353e-68	6.70893292302505e-64	130.190564187882	limma_trend_aw	5.37174675158568
ENSG00000173349	SFT2D3	-4.06045006464799	-0.492398269901422	-73.1599696900247	1.61765660488477e-58	1.4186039596537e-54	116.025017163054	limma_trend_aw	4.06045006464799
ENSG00000136305	CIDEB	-3.72853956845445	-0.536057115217322	-66.1676446302659	4.92722287451311e-56	2.8806187332028502e-52	111.755997285649	limma_trend_aw	3.72853956845445
ENSG00000148671	ADIRF	-5.38656920240326	-0.314744366028586	-49.9315524490579	4.251763699945459e-49	1.86429208833359e-45	98.7635154210698	limma_trend_aw	5.38656920240326
ENSG00000142684	ZNF593	-3.19696553429363	-0.597307995906331	-42.8161371052674	2.2954117355465e-45	8.051845285950009e-42	91.2519024080893	limma_trend_aw	3.19696553429363
ENSG00000142694	EVA1B	-4.93693776675946	-0.388871425045863	-39.4731481678195	2.187627278787e-43	6.3947991404408596e-40	87.1469635693125	limma_trend_aw	4.93693776675946
ENSG00000162032	SPSB3	-4.85676625572795	0.11288741117922	-36.4505404774301	1.80504211575464e-41	4.52266195260296e-38	83.1080243922417	limma_trend_aw	4.85676625572795
ENSG00000240972	MIF	-3.55278424791767	-0.475937812221739	-34.2348030788037	5.7088552419049e-40	1.25159515109713e-36	79.9062044949861	limma_trend_aw	3.55278424791767
ENSG00000166333	ILK	-4.86050050434407	2.88742722331588	-33.0406112311534	3.99985028699526e-39	7.79481935373442e-36	78.0872815037298	limma_trend_aw	4.86050050434407
ENSG00000168282	MGAT2	-5.77130580981184	0.775777240501897	-30.3860784901269	3.8408548988439e-37	6.73647540708232e-34	73.7860845442444	limma_trend_aw	5.77130580981184
ENSG00000235865	GSN-AS1	4.80502129821081	3.75500915838885	26.6286725993106	4.66444319106753e-34	7.43724264801213e-31	67.0054050606993	limma_trend_aw	4.80502129821081
ENSG00000108961	RANGRF	-3.34840092014911	0.0393821973458745	-24.0063272440593	1.1223523768045701e-31	1.64041152806462e-28	61.7089517257548	limma_trend_aw	3.34840092014911
ENSG00000226312	CFLAR-AS1	4.90116128735225	3.82424196707262	23.4056157558372	4.2253149478456905e-31	5.700599913097349e-28	60.4215849809651	limma_trend_aw	4.90116128735225
ENSG00000105371	ICAM4	-2.30075428696141	-0.716806085395741	-22.7719202341502	1.7634887398714e-30	2.2092735006146e-27	59.0313662819352	limma_trend_aw	2.30075428696141
ENSG00000162300	ZFPL1	-2.77443234799585	2.03426663914974	-22.5127354626179	3.1432985694273397e-30	3.67535424061241e-27	58.4682685288191	limma_trend_aw	2.77443234799585
ENSG00000187024	PTRH1	-2.51111375636649	-0.371970604322784	-21.6809714530066	2.2275009343178398e-29	2.44175868043754e-26	56.5571438285352	limma_trend_aw	2.51111375636649
ENSG00000100038	TOP3B	-3.9677011109986	0.537332089107565	-21.6520552320398	2.3856343946844998e-29	2.46127303813949e-26	56.4901242105773	limma_trend_aw	3.9677011109986
ENSG00000182224	CYB5D1	-2.30931495469424	-0.467081501087354	-21.5153737029462	3.30233115243951e-29	3.2177547823687005e-26	56.1723050881503	limma_trend_aw	2.30931495469424
ENSG00000272325	NUDT3	-5.14774339963069	1.91253720445384	-21.1981732075331	7.06755183179583e-29	6.52409429357195e-26	55.4281214601072	limma_trend_aw	5.14774339963069
ENSG00000136867	SLC31A2	-3.57481844090565	1.87842544553094	-20.6769662117814	2.51577424426406e-28	2.20620822350737e-25	54.1848730430516	limma_trend_aw	3.57481844090565
ENSG00000163959	SLC51A	2.7843990404828	2.17478927670663	20.32541928506	5.92425520038932e-28	4.94788152188706e-25	53.34513808376	limma_trend_aw	2.7843990404828
ENSG00000236618	PITPNA-AS1	-2.05387800554387	-0.246824892464664	-20.0510258978717	1.17821506004968e-27	9.39305179009606e-25	52.6705291596578	limma_trend_aw	2.05387800554387
ENSG00000275221	H2AC15	-2.11425662136938	-0.740758314088855	-19.9854754650709	1.40895330588428e-27	1.07441878399585e-24	52.4950532616935	limma_trend_aw	2.11425662136938
ENSG00000102931	ARL2BP	-5.23038778607668	1.45994916126976	-19.851358082903	1.97823940965187e-27	1.4456808752451701e-24	52.1618361447243	limma_trend_aw	5.23038778607668
ENSG00000127774	EMC6	-2.42284719588658	-0.119300623581716	-19.7393710814829	2.62975421140346e-27	1.84493036455221e-24	51.8822168860535	limma_trend_aw	2.42284719588658
ENSG00000125245	GPR18	3.18688108129366	2.40987094082236	19.4231660148911	5.9137161149163796e-27	3.9892564207507004e-24	51.0858094901419	limma_trend_aw	3.18688108129366
ENSG00000246859	STARD4-AS1	3.88296643777889	5.16549243901039	19.0151622276312	1.7072479323406799e-26	1.10901561056753e-23	50.0429499167483	limma_trend_aw	3.88296643777889
ENSG00000100330	MTMR3	-2.54150316111343	4.10948292444774	-18.9534488844335	2.0071037527965e-26	1.21485908597273e-23	49.8836931269815	limma_trend_aw	2.54150316111343
ENSG00000169564	PCBP1	-4.36266680462252	1.65113770421049	-18.9531425388847	2.00871848413302e-26	1.21485908597273e-23	49.8829015719969	limma_trend_aw	4.36266680462252
ENSG00000267757	EML2-AS1	-0.952047252334553	-0.872965358136537	-18.7138904612718	3.7285476060863e-26	2.17983321543825e-23	49.2737778640574	limma_trend_aw	0.952047252334553
ENSG00000188916	INSYN2A	4.42655456632537	4.53656456862444	18.4025961314402	8.65558222480579e-26	4.89710505293125e-23	48.4441773579281	limma_trend_aw	4.42655456632537
ENSG00000265967	AC100830.3	-1.65928826204062	-0.792021731090101	-17.6748619448603	6.265538388777551e-25	3.4341024312740497e-22	46.4916154607947	limma_trend_aw	1.65928826204062
ENSG00000213977	TAX1BP3	-2.60983605009945	0.0266527094006681	-17.5482361689692	8.893240420840931e-25	4.72662253760997e-22	46.1458156509078	limma_trend_aw	2.60983605009945
ENSG00000255737	AGAP2-AS1	-3.02652554080122	0.58376854507315	-17.0473184046051	3.6162769918028104e-24	1.86546712233028e-21	44.7598711688288	limma_trend_aw	3.02652554080122
ENSG00000225885	AC023590.1	3.27993887452685	2.18301974990215	16.8224527572466	6.85001234284597e-24	3.4326390423193e-21	44.1282348925922	limma_trend_aw	3.27993887452685
ENSG00000256040	PAPPA-AS1	-5.47393773009002	-0.308090427290217	-16.7402871599985	8.66330430593742e-24	4.2207137283843505e-21	43.8959521259531	limma_trend_aw	5.47393773009002
ENSG00000141965	FEM1A	-2.91329330680536	1.66847121157589	-16.5902411377912	1.33290259271709e-23	6.31831853342298e-21	43.4697069783843	limma_trend_aw	2.91329330680536
