sample,study,group
T-C3L-02890,CPTAC3,tumor
T-C3L-03635,CPTAC3,tumor
T-C3L-02701,CPTAC3,tumor
T-C3L-04072,CPTAC3,tumor
T-C3L-00589,CPTAC3,tumor
T-C3L-03123,CPTAC3,tumor
T-C3N-01383,CPTAC3,tumor
T-C3L-01124,CPTAC3,tumor
T-C3L-00625,CPTAC3,tumor
T-C3N-03439,CPTAC3,tumor
T-C3N-03666,CPTAC3,tumor
T-C3L-00277,CPTAC3,tumor
T-C3L-04080,CPTAC3,tumor
T-C3L-01053,CPTAC3,tumor
T-C3N-02944,CPTAC3,tumor
T-C3N-01388,CPTAC3,tumor
T-C3L-00640,CPTAC3,tumor
T-C3N-01719,CPTAC3,tumor
T-C3L-02115,CPTAC3,tumor
T-C3L-00819,CPTAC3,tumor
T-C3L-01598,CPTAC3,tumor
T-C3N-04284,CPTAC3,tumor
T-C3N-00511,CPTAC3,tumor
T-C3N-03061,CPTAC3,tumor
T-C3L-01689,CPTAC3,tumor
T-C3N-03839,CPTAC3,tumor
T-C3L-01971,CPTAC3,tumor
T-C3N-01899,CPTAC3,tumor
T-C3N-00517,CPTAC3,tumor
T-C3N-03069,CPTAC3,tumor
T-C3N-02765,CPTAC3,tumor
T-C3L-01032,CPTAC3,tumor
T-C3N-01382,CPTAC3,tumor
T-C3L-04853,CPTAC3,tumor
T-C3L-04495,CPTAC3,tumor
T-C3L-00881,CPTAC3,tumor
T-C3L-01051,CPTAC3,tumor
T-C3N-01716,CPTAC3,tumor
T-C3N-03000,CPTAC3,tumor
T-C3L-03632,CPTAC3,tumor
T-C3N-02589,CPTAC3,tumor
T-C3N-03006,CPTAC3,tumor
T-C3N-02996,CPTAC3,tumor
T-C3N-03754,CPTAC3,tumor
T-C3L-03639,CPTAC3,tumor
T-C3L-02606,CPTAC3,tumor
T-C3N-03665,CPTAC3,tumor
T-C3N-03173,CPTAC3,tumor
T-C3N-02696,CPTAC3,tumor
T-TCGA-IB-A6UG,TCGA,tumor
T-TCGA-HZ-8637,TCGA,tumor
T-TCGA-IB-8126,TCGA,tumor
T-TCGA-HV-A5A6,TCGA,tumor
T-TCGA-FB-A5VM,TCGA,tumor
T-TCGA-3A-A9IB,TCGA,tumor
T-TCGA-US-A77J,TCGA,tumor
T-TCGA-3A-A9I9,TCGA,tumor
T-TCGA-XN-A8T5,TCGA,tumor
T-TCGA-IB-7651,TCGA,tumor
T-TCGA-HV-A5A4,TCGA,tumor
T-TCGA-IB-7889,TCGA,tumor
T-TCGA-LB-A9Q5,TCGA,tumor
T-TCGA-IB-A5SS,TCGA,tumor
T-TCGA-HZ-7919,TCGA,tumor
T-TCGA-2J-AAB8,TCGA,tumor
T-TCGA-HV-A7OL,TCGA,tumor
T-TCGA-HZ-A4BH,TCGA,tumor
T-TCGA-HZ-7926,TCGA,tumor
T-TCGA-FB-A78T,TCGA,tumor
T-TCGA-HZ-A49I,TCGA,tumor
T-TCGA-3A-A9IL,TCGA,tumor
T-TCGA-Q3-AA2A,TCGA,tumor
T-TCGA-2J-AABV,TCGA,tumor
T-TCGA-HZ-8005,TCGA,tumor
T-TCGA-FB-AAPS,TCGA,tumor
T-TCGA-F2-A44G,TCGA,tumor
T-TCGA-HZ-7920,TCGA,tumor
T-TCGA-F2-A7TX,TCGA,tumor
T-TCGA-2L-AAQL,TCGA,tumor
T-TCGA-HV-A5A5,TCGA,tumor
T-TCGA-IB-AAUW,TCGA,tumor
T-TCGA-IB-7652,TCGA,tumor
T-TCGA-IB-7644,TCGA,tumor
T-TCGA-Q3-A5QY,TCGA,tumor
T-TCGA-HZ-A49H,TCGA,tumor
T-TCGA-HV-AA8X,TCGA,tumor
T-TCGA-FB-AAPP,TCGA,tumor
T-TCGA-3A-A9IH,TCGA,tumor
T-TCGA-HV-AA8V,TCGA,tumor
T-TCGA-2J-AABU,TCGA,tumor
T-TCGA-IB-8127,TCGA,tumor
T-TCGA-IB-AAUP,TCGA,tumor
T-TCGA-US-A774,TCGA,tumor
T-TCGA-IB-7893,TCGA,tumor
T-TCGA-IB-7888,TCGA,tumor
T-TCGA-HZ-8636,TCGA,tumor
T-TCGA-HZ-8315,TCGA,tumor
T-TCGA-IB-7897,TCGA,tumor
T-TCGA-F2-7276,TCGA,tumor
T-TCGA-FB-A7DR,TCGA,tumor
T-TCGA-US-A776,TCGA,tumor
T-TCGA-HZ-A77Q,TCGA,tumor
T-TCGA-F2-6880,TCGA,tumor
T-TCGA-2J-AABH,TCGA,tumor
T-TCGA-HZ-A9TJ,TCGA,tumor
T-TCGA-F2-6879,TCGA,tumor
T-TCGA-IB-AAUT,TCGA,tumor
T-TCGA-H6-8124,TCGA,tumor
T-TCGA-2J-AAB1,TCGA,tumor
T-TCGA-HZ-8519,TCGA,tumor
T-TCGA-HZ-8638,TCGA,tumor
T-TCGA-RB-A7B8,TCGA,tumor
T-TCGA-US-A77E,TCGA,tumor
T-TCGA-HZ-A77P,TCGA,tumor
T-TCGA-F2-A44H,TCGA,tumor
T-TCGA-HZ-A4BK,TCGA,tumor
T-TCGA-YH-A8SY,TCGA,tumor
T-TCGA-F2-7273,TCGA,tumor
T-TCGA-H8-A6C1,TCGA,tumor
T-TCGA-2J-AAB4,TCGA,tumor
T-TCGA-2J-AABI,TCGA,tumor
T-TCGA-HZ-7289,TCGA,tumor
T-TCGA-3A-A9IN,TCGA,tumor
T-TCGA-3A-A9IS,TCGA,tumor
T-TCGA-2L-AAQM,TCGA,tumor
T-TCGA-3A-A9IR,TCGA,tumor
T-TCGA-3A-A9IV,TCGA,tumor
T-TCGA-3A-A9IO,TCGA,tumor
T-TCGA-2J-AABT,TCGA,tumor
T-TCGA-H6-A45N,TCGA,tumor
T-TCGA-3A-A9IJ,TCGA,tumor
N-C3L-04072,CPTAC3,control
N-C3L-00589,CPTAC3,control
N-C3L-03123,CPTAC3,control
N-C3L-04080,CPTAC3,control
N-C3L-00640,CPTAC3,control
N-C3N-01719,CPTAC3,control
N-C3L-07033,CPTAC3,control
N-C3L-00819,CPTAC3,control
N-C3L-07032,CPTAC3,control
N-C3L-01689,CPTAC3,control
N-C3N-01899,CPTAC3,control
N-C3N-00517,CPTAC3,control
N-C3N-03069,CPTAC3,control
N-C3N-02765,CPTAC3,control
N-C3L-07037,CPTAC3,control
N-C3N-02589,CPTAC3,control
N-C3N-02996,CPTAC3,control
N-C3L-02606,CPTAC3,control
N-C3N-03173,CPTAC3,control
N-C3N-02696,CPTAC3,control
N-TCGA-H6-A45N,TCGA,control
